U_ID,Name,GradeLevel_id,Subject_id,StartDate,EndDate,enabled
1315,Great Gatsby,11,2,2012-10-15,2012-11-16,1
1317,Catcher in the Rye,11,2,2012-12-03,2013-02-01,1
1320,To Kill a Mockingbird,11,2,2013-04-08,2013-05-10,1
1321,Maus: A Survivor's Tale,11,2,2013-05-13,2013-05-31,1
1325,Rules of the Game 2,11,2,2012-09-03,2013-06-06,1
1331,Spelling,11,2,2012-09-03,2013-06-06,1
1284,8G Foundations for Geometry,11,6,2012-09-03,2012-09-21,1
1529,8G Geometric Reasoning,11,6,2013-09-23,2013-10-15,1
1589,8G Parallel and Perpendicular Lines,11,6,2013-10-16,2013-11-04,1
1590,8G Triangle Congruence,11,6,2013-11-05,2013-11-26,1
1591,8G Properties and Attributes of Triangles,11,6,2013-12-02,2013-12-20,1
1592,8G Polygons and Quadrilaterals,11,6,2014-01-07,2014-01-30,1
1593,8G Similarity,11,6,2014-01-31,2014-02-21,1
1594,8G Right Triangles and Trigonometry,11,6,2014-02-24,2014-03-14,1
1595,"8G Perimeter, Area and Circumference",11,6,2014-03-31,2014-04-23,1
1596,8G 3-Dimensional Geometry,11,6,2014-04-24,2014-05-16,1
1597,8G Circles,11,6,2014-05-19,2014-06-06,1
1609,Intro to Popular Music: The Rock and Roll Hall of Fame,11,7,2013-09-04,2013-10-29,1
1636,The 1950's & Prior: Rock and Roll's Origins,11,7,2013-11-01,2013-12-20,1
1637,The 1960's: Slices of American Pie,11,7,2014-01-06,2014-01-31,1
1638,The 1970's: Popular Music Goes Electronic,11,7,2014-02-03,2014-02-28,1
1639,The 1980's: The Launch of Mainstream Pop & Rap,11,7,2014-03-03,2014-04-11,1
1640,The 1990's & Beyond: Popular Music's Trends & Future,11,7,2014-04-14,2014-05-16,1
1641,Experimental Music: Pushing the Boundaries,11,7,2014-05-19,2014-06-06,1
1305,Backyard Games,11,8,2014-04-14,2014-05-30,1
1424,Flag Football,11,8,2013-09-04,2013-10-04,1
1427,Indoor Soccer,11,8,2013-10-07,2013-10-25,1
1579,Pickle Ball,11,8,2013-10-28,2013-11-29,1
1582,Floor Hockey,11,8,2013-12-02,2013-12-20,1
1069,Buddhism,11,9,2013-09-01,2014-06-01,1
1070,Hinduism,11,9,2013-09-01,2014-06-01,1
1549,Independent Science Project:  ISP,11,10,2014-01-27,2014-03-10,1
1588,Cells and Heredity,11,10,2013-09-04,2014-01-24,1
1094,Industrialization of America,11,11,2013-09-01,2014-06-01,1
1095,World War II,11,11,2013-09-01,2014-06-01,1
1208,Reconstruction,11,11,2012-09-04,2012-09-25,1
1209,Westward Expansion,11,11,2012-09-26,2012-10-10,1
1210,"Urbanization, Immigration and the Growth of Cities",11,11,2013-09-01,2014-06-01,1
1264,Animal Farm and Communism,11,11,2013-09-01,2014-06-01,1
1200,Comidas/ Meals,11,12,2012-09-10,2012-10-10,1
1203,Actividades al aire libre/Outdoors,11,12,2012-10-11,2012-12-14,1
1204,De compras/shopping,11,12,2013-09-01,2014-06-01,1
1206,De compras,11,12,2013-01-07,2013-02-07,1
1211,Accidentes y EnfermedadesCapítulo 9,11,12,2013-02-11,2013-03-11,1
1212,Películas y TelevisiónCapítulo 10,11,12,2013-03-12,2013-03-26,1
1214,El Futuro,11,12,2012-03-28,2013-04-11,1
1215,El pasaporte por favor!Viajes,11,12,2013-04-12,2013-04-26,1
